codigo_localidad:nombre_localidad:nombre_provincia:latitud:longitud
161180001:"Ledaña":Cuenca:39,3559601:-1,7186056
161240001:"Las Mesas":Cuenca:39,3877846:-2,7642851
161250001:Minglanilla:Cuenca:39,5350097:-1,5959709
161260003:Mira:Cuenca:39,719653:-1,4392406
161330001:"Mota del Cuervo":Cuenca:39,5015413:-2,8714275
161340001:"Motilla del Palancar":Cuenca:39,562573:-1,9111451
161480001:"Palomares del Campo":Cuenca:39,9458152:-2,5978435
161530001:"El Pedernoso":Cuenca:39,483918:-2,744386
161540001:"Las Pedroñeras":Cuenca:39,4480026:-2,6760251
161700001:Priego:Cuenca:40,4495563:-2,3141515
161710001:"El Provencio":Cuenca:39,3759745:-2,5713383
161750001:"Quintanar del Rey":Cuenca:39,343635:-1,9270246
161860001:Saelices:Cuenca:39,9204907:-2,8041276
161900002:"San Clemente":Cuenca:39,4016527:-2,428283
161910001:"San Lorenzo de la Parrilla":Cuenca:39,8506996:-2,3603867
161980001:Sisante:Cuenca:39,4074202:-2,202764
162030001:Tarancon:Cuenca:40,0105152:-3,0074463
169030001:"Valera de Abajo":Cuenca:39,768533:-2,1577221
162360001:"Valverde de Jucar":Cuenca:39,7195872:-2,2224369
162430002:"Villaescusa de Haro":Cuenca:39,5998876:-2,6729202
162440002:"Villagarcia del Llano":Cuenca:39,327425:-1,8470745
162450002:"Villalba de la Sierra":Cuenca:40,2351588:-2,0898115
162480001:Villalpardo:Cuenca:39,4712656:-1,623867
162490001:"Villamayor de Santiago":Cuenca:39,7328822:-2,9254834
162510004:"Villanueva de la Jara":Cuenca:39,4403083:-1,9551331
162630003:"Villar de Olalla":Cuenca:40,0150199:-2,1960034
162690002:"Villares del Saz":Cuenca:39,8425635:-2,5037039
190060001:"Albalate de Zorita":Guadalajara:40,3084745:-2,8439975
190110001:"Alcolea del Pinar":Guadalajara:41,0363969:-2,4672145
190210001:Almoguera:Guadalajara:40,2979978:-2,9819309
190240001:Alovera:Guadalajara:40,5961557:-3,2477262
192200006:"La Arboleda":Guadalajara:20,7575985:-103,4056607
190710007:"Los Arenales":Guadalajara:38,8865168:-3,6959564
190440002:Atienza:Guadalajara:41,1981179:-2,8708039
190460001:"Azuqueca de Henares":Guadalajara:40,5648765:-3,2680616
190530003:Brihuega:Guadalajara:40,7619928:-2,8695567
190540001:Budia:Guadalajara:40,6275816:-2,7571369
190580001:"Cabanillas del Campo":Guadalajara:40,6378501:-3,2307113
190710001:"El Casar":Guadalajara:40,7058621:-3,427332
191030001:Checa:Guadalajara:40,5866015:-1,7891863
191050002:Chiloeches:Guadalajara:40,5723871:-3,1637624
190860002:Cifuentes:Guadalajara:40,7836655:-2,6226489
190920003:Cogolludo:Guadalajara:40,9452193:-3,0894083
190710003:"El Coto":Guadalajara:40,7006003:-3,4441977
191170001:Fontanar:Guadalajara:40,7267596:-3,1767108
191260001:Galapagos:Guadalajara:40,6916964:-3,3426697
191300001:Guadalajara:Guadalajara:40,632489:-3,16017
191430001:Horche:Guadalajara:40,5656435:-3,0632544
191510002:Humanes:Guadalajara:40,8274761:-3,1554638
191300002:Iriepal:Guadalajara:40,6389936:-3,1196359
191560002:Jadraque:Guadalajara:40,9254668:-2,926335
191610001:Lupiana:Guadalajara:40,6103251:-3,053238
191680002:Mandayona:Guadalajara:40,9556546:-2,7499835
191710001:Marchamalo:Guadalajara:40,6678056:-3,2018198
191900004:Molina:Guadalajara:40,8434667:-1,885057
191920001:Mondejar:Guadalajara:40,3239733:-3,1096078
192800001:"Parque de las Castillas":Guadalajara:40,6875109:-3,3727416
192120001:Pastrana:Guadalajara:40,4161244:-2,9213408
192200001:Pioz:Guadalajara:40,463533:-3,1748281
192230001:"Poveda de la Sierra":Guadalajara:40,6429348:-2,0291558
192250001:"Pozo de Guadalajara":Guadalajara:40,4951443:-3,1811039
192300001:Quer:Guadalajara:40,6079824:-3,2778796
192450004:Sacedon:Guadalajara:40,4818093:-2,7319493
192800003:"Señorio de Muriel":Guadalajara:40,652923:-3,3349481
192570025:Siguenza:Guadalajara:41,067066:-2,6462262
192660001:Tendilla:Guadalajara:40,5442469:-2,9581854
192740002:Torija:Guadalajara:40,7433158:-3,0313342
192800002:"Torrejon del Rey":Guadalajara:40,6456116:-3,3370028
192860001:"Tortola de Henares":Guadalajara:40,7059844:-3,1259046
192900001:Trijueque:Guadalajara:40,77651:-2,9956836
192910005:Trillo:Guadalajara:40,7007797:-2,5928841
192930002:Uceda:Guadalajara:40,8424499:-3,4637199
193190001:"Villanueva de la Torre":Guadalajara:40,5863651:-3,2991864
193240001:"Villel de Mesa":Guadalajara:41,124236:-1,9918231
193310001:"Yunquera de Henares":Guadalajara:40,7523479:-3,1666708
450010001:Ajofrin:Toledo:39,7113578:-3,9814651
450020001:"Alameda de la Sagra":Toledo:40,0128758:-3,7955865
450030001:"Albarreal de Tajo":Toledo:39,8974803:-4,2288
450280001:"Alberche del Caudillo":Toledo:39,9106652:-4,930549
450040001:Alcabon:Toledo:40,0036191:-4,368718
450060001:"Alcaudete de la Jara":Toledo:39,7855952:-4,8689189
450070001:"Alcolea de Tajo":Toledo:39,8102301:-5,1464647
